,experiment,item_id,condition,sentence,expected,prediction,error,model
0,multiple_rcpp,1,SAS_rel,the bird that ate quickly near the tree,VBZ,VBZ,False,0
1,multiple_rcpp,1,SSS_rel,the bird that ate the worm near the tree,VBZ,VBZ,False,0
2,multiple_rcpp,1,SAP_rel,the bird that ate quickly near the trees,VBZ,VBZ,False,0
3,multiple_rcpp,1,SPP_rel,the bird that ate the worms near the trees,VBZ,VBZ,False,0
4,multiple_rcpp,1,SSP_rel,the bird that ate the worm near the trees,VBZ,VBZ,False,0
5,multiple_rcpp,1,SPS_rel,the bird that ate the worms near the tree,VBZ,VBZ,False,0
6,multiple_rcpp,1,SSA_prep,the bird near the tree that ate quickly,VBZ,VBZ,False,0
7,multiple_rcpp,1,SSS_prep,the bird near the tree that ate the worm,VBZ,VBZ,False,0
8,multiple_rcpp,1,SPA_prep,the bird near the trees that ate quickly,VBZ,VBZ,False,0
9,multiple_rcpp,1,SPP_prep,the bird near the trees that ate the worms,VBZ,VBZ,False,0
10,multiple_rcpp,1,SPS_prep,the bird near the trees that ate the worm,VBZ,VBZ,False,0
11,multiple_rcpp,1,SSP_prep,the bird near the tree that are the worms,VBZ,VBZ,False,0
12,multiple_rcpp,2,SAS_rel,the man that played softly near the crowd,VBZ,VBZ,False,0
13,multiple_rcpp,2,SSS_rel,the man that played the song near the crowd,VBZ,VBZ,False,0
14,multiple_rcpp,2,SAP_rel,the man that played softly near the crowds,VBZ,VBZ,False,0
15,multiple_rcpp,2,SPP_rel,the man that played the songs near the crowds,VBZ,VBZ,False,0
16,multiple_rcpp,2,SSP_rel,the man that played the song near the crowds,VBZ,VBZ,False,0
17,multiple_rcpp,2,SPS_rel,the man that played the songs near the crowd,VBZ,VBZ,False,0
18,multiple_rcpp,2,SSA_prep,the man near the crowd that played softly,VBZ,VBZ,False,0
19,multiple_rcpp,2,SSS_prep,the man near the crowd that played the song,VBZ,VBZ,False,0
20,multiple_rcpp,2,SPA_prep,the man near the crowds that played softly,VBZ,VBZ,False,0
21,multiple_rcpp,2,SPP_prep,the man near the crowds that played the songs,VBZ,VBZ,False,0
22,multiple_rcpp,2,SPS_prep,the man near the crowds that played the song,VBZ,VBZ,False,0
23,multiple_rcpp,2,SSP_prep,the man near the crowd that played the songs,VBZ,VBZ,False,0
24,multiple_rcpp,3,SAS_rel,the doctor that helped often in the lab,VBZ,VBZ,False,0
25,multiple_rcpp,3,SSS_rel,the doctor that helped the nurse in the lab,VBZ,VBZ,False,0
26,multiple_rcpp,3,SAP_rel,the doctor that helped often in the labs,VBZ,VBZ,False,0
27,multiple_rcpp,3,SPP_rel,the doctor that helped the nurses in the labs,VBZ,VBP,True,0
28,multiple_rcpp,3,SSP_rel,the doctor that helped the nurse in the labs,VBZ,VBZ,False,0
29,multiple_rcpp,3,SPS_rel,the doctor that helped the nurses in the lab,VBZ,VBP,True,0
30,multiple_rcpp,3,SSA_prep,the doctor in the lab that helped often,VBZ,VBZ,False,0
31,multiple_rcpp,3,SSS_prep,the doctor in the lab that helped the nurse,VBZ,VBZ,False,0
32,multiple_rcpp,3,SPA_prep,the doctor in the labs that helped often,VBZ,VBZ,False,0
33,multiple_rcpp,3,SPP_prep,the doctor in the labs that helped the nurses,VBZ,VBP,True,0
34,multiple_rcpp,3,SPS_prep,the doctor in the labs that helped the nurse,VBZ,VBZ,False,0
35,multiple_rcpp,3,SSP_prep,the doctor in the lab that helped the nurses,VBZ,VBP,True,0
36,multiple_rcpp,4,SAS_rel,the artist that painted carefully with the brush,VBZ,VBZ,False,0
37,multiple_rcpp,4,SSS_rel,the artist that painted the picture with the brush,VBZ,VBZ,False,0
38,multiple_rcpp,4,SAP_rel,the artist that painted carefully with the brushes,VBZ,VBZ,False,0
39,multiple_rcpp,4,SPP_rel,the artist that painted the pictures with the brushes,VBZ,VBZ,False,0
40,multiple_rcpp,4,SSP_rel,the artist that painted the picture with the brushes,VBZ,VBZ,False,0
41,multiple_rcpp,4,SPS_rel,the artist that painted the pictures with the brush,VBZ,VBZ,False,0
42,multiple_rcpp,4,SSA_prep,the artist with the brush that painted carefully,VBZ,VBZ,False,0
43,multiple_rcpp,4,SSS_prep,the artist with the brush that painted the picture,VBZ,VBZ,False,0
44,multiple_rcpp,4,SPA_prep,the artist with the brushes that painted carefully,VBZ,VBZ,False,0
45,multiple_rcpp,4,SPP_prep,the artist with the brushes that painted the pictures,VBZ,VBZ,False,0
46,multiple_rcpp,4,SPS_prep,the artist with the brushes that painted the picture,VBZ,VBZ,False,0
47,multiple_rcpp,4,SSP_prep,the artist with the brush that painted the pictures,VBZ,VBZ,False,0
48,multiple_rcpp,5,SAS_rel,the wrestler that fought RB in the ring,VBZ,VBZ,False,0
49,multiple_rcpp,5,SSS_rel,the wrestler that fought the enemy in the ring,VBZ,VBZ,False,0
50,multiple_rcpp,5,SAP_rel,the wrestler that fought RB in the rings,VBZ,VBZ,False,0
51,multiple_rcpp,5,SPP_rel,the wrestler that fought the enemies in the rings,VBZ,VBZ,False,0
52,multiple_rcpp,5,SSP_rel,the wrestler that fought the enemy in the rings,VBZ,VBZ,False,0
53,multiple_rcpp,5,SPS_rel,the wrestler that fought the enemies in the ring,VBZ,VBZ,False,0
54,multiple_rcpp,5,SSA_prep,the wrestler in the ring that fought RB,VBZ,VBZ,False,0
55,multiple_rcpp,5,SSS_prep,the wrestler in the ring that fought the enemy,VBZ,VBZ,False,0
56,multiple_rcpp,5,SPA_prep,the wrestler in the rings that fought RB,VBZ,VBZ,False,0
57,multiple_rcpp,5,SPP_prep,the wrestler in the rings that fought the enemies,VBZ,VBZ,False,0
58,multiple_rcpp,5,SPS_prep,the wrestler in the rings that fought the enemy,VBZ,VBZ,False,0
59,multiple_rcpp,5,SSP_prep,the wrestler in the ring that fought the enemies,VBZ,VBZ,False,0
60,multiple_rcpp,6,SAS_rel,the student that read quietly near the window,VBZ,VBZ,False,0
61,multiple_rcpp,6,SSS_rel,the student that read the book near the window,VBZ,VBZ,False,0
62,multiple_rcpp,6,SAP_rel,the student that read quietly near the windows,VBZ,VBZ,False,0
63,multiple_rcpp,6,SPP_rel,the student that read the books near the windows,VBZ,VBZ,False,0
64,multiple_rcpp,6,SSP_rel,the student that read the book near the windows,VBZ,VBZ,False,0
65,multiple_rcpp,6,SPS_rel,the student that read the books near the window,VBZ,VBZ,False,0
66,multiple_rcpp,6,SSA_prep,the student near the window that read quietly,VBZ,VBZ,False,0
67,multiple_rcpp,6,SSS_prep,the student near the window that read the book,VBZ,VBZ,False,0
68,multiple_rcpp,6,SPA_prep,the student near the windows that read quietly,VBZ,VBZ,False,0
69,multiple_rcpp,6,SPP_prep,the student near the windows that read the books,VBZ,VBZ,False,0
70,multiple_rcpp,6,SPS_prep,the student near the windows that read the book,VBZ,VBZ,False,0
71,multiple_rcpp,6,SSP_prep,the student near the window that read the books,VBZ,VBZ,False,0
72,multiple_rcpp,7,SAS_rel,the teacher that wrote neatly at the board,VBZ,VBZ,False,0
73,multiple_rcpp,7,SSS_rel,the teacher that wrote the word at the board,VBZ,VBZ,False,0
74,multiple_rcpp,7,SAP_rel,the teacher that wrote neatly at the boards,VBZ,VBZ,False,0
75,multiple_rcpp,7,SPP_rel,the teacher that wrote the words at the boards,VBZ,VBZ,False,0
76,multiple_rcpp,7,SSP_rel,the teacher that wrote the word at the boards,VBZ,VBZ,False,0
77,multiple_rcpp,7,SPS_rel,the teacher that wrote the words at the board,VBZ,VBZ,False,0
