,experiment,item_id,condition,sentence,expected,prediction,error,model
0,relative_clauses,1,embedded_short,the nurse that the doctors,VBP,VBP,False,0
1,relative_clauses,1,embedded_medium,the nurse that the talented doctors,VBP,VBP,False,0
2,relative_clauses,1,embedded_long,the nurse that the amazingly talented doctors,VBP,VBP,False,0
3,relative_clauses,1,object_short,the nurse that the doctors found,VBZ,VBP,True,0
4,relative_clauses,1,object_medium,the nurse that the talented doctors found,VBZ,VBP,True,0
5,relative_clauses,1,object_long,the nurse that the amazingly talented doctors found,VBZ,VBP,True,0
6,relative_clauses,1,subject_short,the nurse that found the doctors,VBZ,VBP,True,0
7,relative_clauses,1,subject_medium,the nurse that found the talented doctors,VBZ,VBP,True,0
8,relative_clauses,1,subject_long,the nurse that found the amazingly talented doctors,VBZ,VBP,True,0
9,relative_clauses,2,embedded_short,the boy that the girls,VBP,VBP,False,0
10,relative_clauses,2,embedded_medium,the boy that the beautiful girls,VBP,VBP,False,0
11,relative_clauses,2,embedded_long,the boy that the very beautiful girls,VBP,VBP,False,0
12,relative_clauses,2,object_short,the boy that the girls helped,VBZ,VBZ,False,0
13,relative_clauses,2,object_medium,the boy that the beautiful girls helped,VBZ,VBZ,False,0
14,relative_clauses,2,object_long,the boy that the very beautiful girls helped,VBZ,VBZ,False,0
15,relative_clauses,2,subject_short,the boy that helped the girls,VBZ,VBP,True,0
16,relative_clauses,2,subject_medium,the boy that helped the beautiful girls,VBZ,VBP,True,0
17,relative_clauses,2,subject_long,the boy that helped the very beautiful girls,VBZ,VBP,True,0
18,relative_clauses,3,embedded_short,the dog that the cats,VBP,VBP,False,0
19,relative_clauses,3,embedded_medium,the dog that the mean cats,VBP,VBP,False,0
20,relative_clauses,3,embedded_long,the dog that the particularly mean cats,VBP,VBP,False,0
21,relative_clauses,3,object_short,the dog that the cats chased,VBZ,VBZ,False,0
22,relative_clauses,3,object_medium,the dog that the mean cats chased,VBZ,VBZ,False,0
23,relative_clauses,3,object_long,the dog that the particularly mean cats chased,VBZ,VBZ,False,0
24,relative_clauses,3,subject_short,the dog that chased the cats,VBZ,VBZ,False,0
25,relative_clauses,3,subject_medium,the dog that chased the mean cats,VBZ,VBZ,False,0
26,relative_clauses,3,subject_long,the dog that chased the particularly mean cats,VBZ,VBZ,False,0
27,relative_clauses,4,embedded_short,the cop that the lawyers,VBP,VBP,False,0
28,relative_clauses,4,embedded_medium,the cop that the crooked lawyers,VBP,VBP,False,0
29,relative_clauses,4,embedded_long,the cop that the really crooked lawyers,VBP,VBP,False,0
30,relative_clauses,4,object_short,the cop that the lawyers knew,VBZ,VBZ,False,0
